customer_id,customer_name,customer_mobile,order_total,delivery_charge,sku,product_price
1,cus1,11111,1000,50,A,10
1,cus1,11111,1000,50,B,15
1,cus1,11111,1000,50,C,20
2,cus2,222222,2000,50,A,10
2,cus2,222222,2000,50,B,15
3,cus3,333333,3000,50,A,10
3,cus3,333333,3000,50,B,15
1,cus1,11111,1000,50,A,10
1,cus1,11111,2000,50,A,10
5,cus5,555555,3000,50,D,20
10,cus10,123456,1000,50,E,10
10,cus10,123456,1000,50,F,15
9,cus9,9999999,2000,50,G,10
9,cus9,9999999,2000,50,A,10
9,cus9,9999999,2000,50,B,10
9,cus9,9999999,2000,50,C,10
5,cus5,555555,3000,50,E,10
3,cus3,333333,1500,50,A,10
3,cus3,333333,1500,50,B,15
3,cus3,333333,1500,50,C,20
