customer_id,customer_name,customer_mobile,balance,apartment_name,block_name,order_total,delivery_charge,sku,product_price
1,cus1,11111,10,ap1,a,1000,50,A,10
1,cus1,11111,10,ap1,a,1000,50,B,15
1,cus1,11111,10,ap1,a,1000,50,C,20
2,cus2,222222,69,ap1,b,2000,50,A,10
2,cus2,222222,69,ap1,b,2000,50,B,15
3,cus3,333333,58,ap2,c,3000,50,A,10
3,cus3,333333,58,ap2,c,3000,50,B,15
1,cus1,11111,10,ap1,a,1000,50,A,10
1,cus1,11111,10,ap1,a,2000,50,A,10
5,cus5,555555,20,ap1,e,3000,50,D,20
10,cus10,123456,100,ap2,i,1000,50,E,10
10,cus10,123456,100,ap2,i,1000,50,F,15
9,cus9,9999999,15,ap1,h,2000,50,G,10
9,cus9,9999999,15,ap1,h,2000,50,A,10
9,cus9,9999999,15,ap1,h,2000,50,B,10
9,cus9,9999999,15,ap1,h,2000,50,C,10
5,cus5,555555,20,ap1,e,3000,50,E,10
3,cus3,333333,58,ap2,c,1500,50,A,10
3,cus3,333333,58,ap2,c,1500,50,B,15
3,cus3,333333,58,ap2,c,1500,50,C,20
